,time,open,high,low,close,tick_volume,spread,real_volume
87,2022-07-06 11:30:00,1761.334,1761.862,1760.413,1761.715,725,200,0
88,2022-07-06 11:40:00,1761.745,1763.368,1761.068,1761.445,904,200,0
89,2022-07-06 11:50:00,1761.478,1763.428,1760.808,1763.232,838,200,0
90,2022-07-06 12:00:00,1763.197,1764.711,1761.508,1763.657,1161,200,0
91,2022-07-06 12:10:00,1763.669,1764.839,1762.677,1763.694,915,200,0
92,2022-07-06 12:20:00,1763.662,1763.662,1760.098,1760.13,1776,200,0
93,2022-07-06 12:30:00,1760.03,1763.988,1759.472,1762.053,1665,200,0
94,2022-07-06 12:40:00,1762.087,1764.711,1760.776,1764.678,1275,200,0
95,2022-07-06 12:50:00,1764.709,1767.914,1764.331,1765.245,1633,200,0
96,2022-07-06 13:00:00,1765.252,1767.862,1763.796,1767.077,1751,200,0
97,2022-07-06 13:10:00,1767.117,1767.187,1763.613,1763.742,1385,200,0
98,2022-07-06 13:20:00,1763.711,1764.71,1762.744,1763.041,1134,200,0
99,2022-07-06 13:30:00,1763.073,1765.272,1761.6,1762.144,1953,200,0
